GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,17,90,5,12,4,26,5,6,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,169,103,11,0,48,24,9,4,3,4
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,43,19,8,0,11,8,10,3,6,3
parking-system,com.parkit.parkingsystem.model,Ticket,7,51,0,0,3,18,2,12,2,12
parking-system,com.parkit.parkingsystem.constants,Fare,7,0,0,0,2,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,227,4,4,0,48,1,6,1,4,1
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,103,4,4,0,28,1,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,CustomerDAO,57,66,8,0,14,24,4,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,38,22,3,3,16,10,3,6,0,6
